k,N,nn1_avg_s,nn2_avg_s,winner
2,50000,7.788149999987581e-05,0.00012044130000003861,NN1
3,50000,0.00020614460000024337,0.0002503630000001067,NN1
4,50000,0.0005030547000001207,0.00062557599999991,NN1
5,50000,0.0005276685999997426,0.0006303574999997182,NN1
6,50000,0.003308844600000157,0.0020180348999997476,NN2
8,50000,0.007330877000000327,0.005336972200000218,NN2
10,50000,0.06177788200000032,0.02000058029999991,NN2
12,50000,0.37470056150000025,0.01657645709999997,NN2
15,50000,0.2577515032000001,0.07216986159999987,NN2
20,50000,0.34517616240000004,0.31441972280000025,NN2
